Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum
4713509,0,Others,SALARIED,0,0.853333333,0,19560,30036,10476,3,3,30,22,1,348.0000,0.0000,1.Others,SALARIED,DSA,1,49.96337728,Resale Ready,SAL,0.767229039,0.499633773
4714367,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,3,,0,29341.3333,29341.3333,0,2,2,34,29,1,300.0000,0.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,,Builder UNC,NONSAL,,
4714441,0,Government,SALARIED,0,0.41025641,0,12834,21160,8326,2,1,48,22,1,180.0000,0.0000,2.Govt,SALARIED,CROSS SALES,3,50.61436673,Builder UNC,SAL,0.834502104,0.506143667
4714833,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,3,0.4,0,29341.3333,29341.3333,0,1,1,34,29,1,240.0000,0.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,,Builder UNC,NONSAL,0.492513406,0.492513406
4717671,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,0,0.568604742,0,26484.4167,26484.4167,0,2,2,30,28,1,240.0000,6044.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,39.72147138,Builder Ready,NONSAL,0.397214714,0.397214714
4718805,0,Partner-Partnership Firm (Staff More than 10 & Less than 25),DIRECTOR,0,0.675523333,0,327420,352420,25000,3,3,43,25,1,180.0000,3036.0000,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,6.052437433,Resale Ready,NONSAL,0.041628489,0.038675444
4718897,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,1,0.699093944,0,19353.4167,19353.4167,0,2,2,35,29,1,240.0000,5058.0000,3.Private Ltd Co,SELF_EMP,UBL Sales,2,38.57716762,Builder Ready,NONSAL,0.385771676,0.385771676
4721269,0,Private Ltd. Co.,SALARIED,3,0.624225778,0,59212,59212,0,3,3,41,35,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,,Resale Ready,SAL,0.252955482,0.252955482
4721515,1,Public Ltd. Co.,SALARIED,0,0.892100451,0,20927,35927,15000,3,2,28,27,1,300.0000,7924.0000,4.Public Ltd. Co.,SALARIED,DSA,3,53.55860495,Builder UNC,SAL,0.919482009,0.535586049
4721897,0,Private Ltd. Co.,SALARIED,2,0.523365143,0,79900,79900,0,3,3,64,31,1,180.0000,3889.0000,3.Private Ltd Co,SALARIED,UBL Sales,2,,Builder Ready,SAL,0.128498123,0.128498123
4725047,0,Proprietor-Proprietorship Firm (Staff More than 25),SELF-EMPLOYED,2,0.230784333,0,20184.5,20184.5,0,2,2,51,46,1,156.0000,8153.0000,3.Private Ltd Co,SELF_EMP,UBL Sales,1,57.17753722,Builder Ready,NONSAL,0.281998563,0.281998563
4725183,0,MNC,SALARIED,0,0.523280761,0,43311,43311,0,3,1,61,39,1,180.0000,0.0000,5.MNC,SALARIED,CROSS SALES,2,39.52113782,Self Construction,SAL,0.129412851,0.129412851
4725573,0,Private Ltd. Co.,SALARIED,0,0.05550475,1,47990,47990,0,3,3,40,40,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,33.53198583,Builder UNC,SAL,0.266951448,0.266951448
4725657,0,Proprietor-Proprietorship Firm (Staff More than 25),SERVICES,0,0.6479328,0,26553.3333,26553.3333,0,2,2,49,47,1,240.0000,0.0000,3.Private Ltd Co,SELF_EMP,UBL Sales,2,,Builder UNC,NONSAL,0.629676124,0.629676124
4725941,0,Partner-Partnership Firm (Staff More than 25),SALARIED,0,0.392857143,0,27797,27797,0,2,2,42,41,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,2,,Builder Ready,SAL,0.392416448,0.392416448
4728935,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,3,0.5,0,19242,19242,0,2,2,31,29,1,300.0000,6807.0000,3.Private Ltd Co,SELF_EMP,DSA,2,,Builder Ready,NONSAL,0.45842428,0.45842428
4729337,0,Government,SALARIED,1,0.374651025,0,22914,22914,0,3,3,34,27,1,288.0000,10115.0000,2.Govt,SALARIED,CROSS SALES,2,40.22868116,Self Construction,SAL,0.402286812,0.402286812
4729389,0,Proprietor-Proprietorship Firm (Staff Less than 25),TRADING,1,0.652667423,0,22707.4166,22707.4166,0,3,3,36,34,1,336.0000,0.0000,3.Private Ltd Co,SELF_EMP,DSA,2,48.69334189,Resale Ready,NONSAL,0.486933419,0.486933419
4729413,0,Private Ltd. Co.,SALARIED,4,0.429612648,0,27715,27715,0,4,3,26,25,1,240.0000,6365.0000,3.Private Ltd Co,SALARIED,CROSS SALES,2,47.58794876,Builder UNC,SAL,0.318527873,0.318527873
4729573,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,2,0.441060312,0,31917.0833,31917.0833,0,3,3,54,31,1,300.0000,12780.0000,3.Private Ltd Co,SELF_EMP,ALTERNATE CHANNELS,3,51.51159912,Self Construction,NONSAL,0.460380413,0.460380413
4729643,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,3,0.504680296,0,20421.8333,20421.8333,0,2,2,36,28,1,240.0000,3794.0000,3.Private Ltd Co,SELF_EMP,UBL Sales,2,42.19503643,Builder UNC,NONSAL,0.421950364,0.421950364
4730103,0,Private Ltd. Co.,SALARIED,0,0.596617735,0,15800,15800,0,3,2,49,22,1,120.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,3,59.97468354,Builder UNC,SAL,0.599746835,0.599746835
4730177,0,Government,SALARIED,3,0.66082625,0,47327,47327,0,2,2,42,40,1,240.0000,0.0000,2.Govt,SALARIED,UBL Sales,1,32.67268156,Builder UNC,SAL,0.326726816,0.326726816
4732099,0,Self Employed Professional,PROPRIETOR,2,0.323947577,0,21115.6666,21115.6666,0,4,2,59,27,1,240.0000,5339.0000,1.Others,SELF_EMP,CROSS SALES,1,39.99400142,Resale Ready,NONSAL,0.399940014,0.399940014
4732143,0,Private Ltd. Co.,SALARIED,1,0.573905833,0,26171,26171,0,3,3,29,25,1,240.0000,3901.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,50.61327423,Builder UNC,SAL,0.506132742,0.506132742
4732291,0,Others,OTHERS,1,,0,35000,35000,0,4,3,30,25,1,240.0000,0.0000,1.Others,SALARIED,CROSS SALES,3,,Builder UNC,SAL,0.493114286,0.493114286
4732523,0,Private Ltd. Co.,SALARIED,1,0.744570526,0,42500,42500,0,4,3,30,25,1,300.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,,Resale Ready,SAL,0.306,0.306
4732751,0,Public Ltd. Co.,SALARIED,2,,0,12188,12188,0,3,3,48,43,1,180.0000,0.0000,4.Public Ltd. Co.,SALARIED,CROSS SALES,2,,Builder Ready,SAL,0.62717427,0.62717427
4732891,0,Private Ltd. Co.,SAL(RETIRAL AGE 58),3,0.537262552,0,15024,15024,0,4,3,35,28,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,UBL Sales,2,55.44462194,Builder UNC,SAL,0.554446219,0.554446219
4733045,0,Government,SALARIED,1,0.55424,0,37770,37770,0,4,3,37,35,1,204.0000,0.0000,2.Govt,SALARIED,CROSS SALES,1,57.69658459,Builder UNC,SAL,0.358538523,0.358538523
4733061,0,Private Ltd. Co.,SALARIED,2,0.518217692,1,23963,23963,0,4,3,36,29,1,240.0000,0.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,54.82201728,Builder UNC,SAL,0.548220173,0.548220173
4733259,0,Public Ltd. Co.,SALARIED,0,0.570824,0,14140,24722,10582,3,2,52,25,1,120.0000,0.0000,4.Public Ltd. Co.,SALARIED,CROSS SALES,1,,Resale Ready,SAL,1.100777935,0.629601165
4734611,1,Government,SALARIED,0,0.366669722,0,11308,11308,0,1,1,55,38,1,84.0000,1808.0000,2.Govt,SALARIED,CROSS SALES,3,60.10788822,Self Construction,SAL,0.601078882,0.601078882
4735697,0,Public Ltd. Co.,SALARIED,0,0.861642576,0,21836,21836,0,3,2,46,25,1,360.0000,8133.0000,4.Public Ltd. Co.,SALARIED,DIRECT,2,60.35446052,Resale Ready,SAL,0.603544605,0.603544605
4736155,0,Government,SALARIED,2,,0,25050,25050,0,3,2,40,33,1,276.0000,0.0000,2.Govt,SALARIED,DSA,2,,Others+P_Cons,SAL,0.586467066,0.586467066
